Region;Pays;Code;Year;Population;Urbain %;Rural %;Poulet (Kg/personne);Bœuf (Kg/personne);Poissons (Kg/personne);Autres viandes (Kg/personne);Import poulets (1000 têtes);Export poulets (1000 têtes);Import poulets (tonnes);Export poulets (tonnes);Production / Tonnes;Political_Stability;Rank;PIB_par_habitant ($);Disponibilités de matière grasse (g/personne/jour);Disponibilités protéiques (g/personne/jour)
Europe;Montenegro;MNE;2019;622028;67.15;32.849999999999994;15.839926;15.039929;15.519927;51.709758466;233;238;8082.05;0.53;1670;0.07;86;8909.6538759126;140.9;112.7
Eastern Mediterranean;Morocco;MAR;2019;36304408;62.994;37.006;23.350002;8.100001;18.720001;7.060000601;4545;2;2054.36;205.13;732000;-0.34;121;3498.58276367188;74.2;99.7
Africa;Mozambique;MOZ;2019;30285595;36.528;63.472;4.4599996;0.56999993;13.869999;3.069999788;903;0;21292.55;4.16;111648;-0.75;148;512.21576378384;40.8;45.3
South-East Asia;Myanmar;MMR;2019;53040212;30.852;69.148;29.79;9.11;41.18;21.759999999999998;16075;17;267.67;28.0;611255;-1.33;168;1415.37967619462;94.0;96.7
Africa;Namibia;NAM;2019;2446644;51.042;48.958;9.019971;3.0599897;11.709961;13.699955300000001;3320;0;35154.72;25210.09;16166;0.53;63;5126.17614281673;56.8;65.0
Western Pacific;Nauru;NRU;2019;12132;100.0;0.0;50.052715;30.404829;45.42264;39.2059643;0;0;556.4;0.0;4;0.77;44;10316.5278229326;0.0;65.9
South-East Asia;Nepal;NPL;2019;28832496;20.153;79.84700000000001;2.49;9.75;3.55;4.11;1780;0;22.41;0.15;63251;-0.45;130;1185.68231817311;61.8;75.0
Western Pacific;New Zealand;NZL;2019;4979200;86.615;13.385000000000005;27.369984;17.60999;25.669983;42.0199714;0;2348;16.1;14595.59;227674;1.41;4;42796.4305818389;119.3;96.0
Americas;Nicaragua;NIC;2019;6663924;58.76;41.24;20.170002;2.4000003;6.640001;5.640001061;9983;0;6132.54;36.04;139508;-1.0;161;1905.63832831484;64.8;67.0
Africa;Niger;NER;2019;23443393;16.517;83.483;1.1599995;2.459999;1.9199992;4.399997969999999;267;0;2648.38;0.0;19665;-1.41;171;549.81612778082;53.7;83.7
Africa;Nigeria;NGA;2019;203304492;51.157;48.843;1.2399999;1.6199999;8.809999;4.45999985;174;38;10655.22;0.37;294651;-1.92;180;2334.02364318105;57.8;59.0
Europe;North Macedonia;MKD;2019;2076694;58.208;41.792;19.850046;8.75002;6.7700157;13.3000304;164;0;37438.64;489.19;1490;0.0;94;6070.38805358275;109.0;85.0
Europe;Norway;NOR;2019;5347896;82.616;17.384;20.21998;17.319983;50.66995;30.6899696;0;0;767.27;89.52;106844;1.17;8;76430.5889473338;137.3;116.7
Eastern Mediterranean;Oman;OMN;2019;4602768;85.443;14.557000000000002;25.480005;9.140002;30.880007;15.810003750000002;82;63;124027.84;15204.62;6700;0.59;55;19132.1522739094;83.5;86.0
Eastern Mediterranean;Pakistan;PAK;2019;223293280;36.907;63.093;6.8;9.65;1.49;3.27;826;5593;42.45;3940.12;1523069;-2.27;183;1437.1658330724;80.5;67.0
Americas;Panama;PAN;2019;4232532;68.059;31.941000000000003;56.45989;16.499968;15.689969;17.599966192;1431;623;13675.09;303.56;208968;0.3;75;16472.8317470488;95.5;87.0
Western Pacific;Papua New Guinea;PNG;2019;9542486;13.25;86.75;3.8599992;0.8299998;13.699997;54.309987799999995;178;0;24062.89;0.0;6644;-0.7;145;2593.77555393227;57.8;63.3
